#	선수명	팀명	타석	타율	BABIP	볼넷%	삼진%	볼/삼	ISO	타수/홈런	OPS	RC	RC/27	wRC	SPD	wSB	wOBA	wRAA	WAR
1	양의지	NC	459	0.354	0.354	10.5	9.4	1.12	0.220	19.50	1.012	98.53	9.71	99.49	2.52	-0.48	0.441	45.46	7.02
2	김하성	Hero	625	0.307	0.328	11.2	12.8	0.88	0.184	28.42	0.880	110.96	7.53	106.70	6.29	4.41	0.389	33.14	6.77
3	최정	SK	606	0.292	0.303	11.6	15.2	0.76	0.227	17.34	0.918	113.01	8.25	110.90	3.97	-0.14	0.403	39.58	6.63
4	샌즈	Hero	613	0.305	0.329	12.6	16.5	0.76	0.238	18.75	0.939	113.10	7.85	116.56	2.39	-0.52	0.411	44.42	6.09
5	로하스	KT	578	0.322	0.377	8.5	20.8	0.41	0.208	21.71	0.911	107.45	7.93	102.10	4.17	-0.95	0.396	34.07	5.56
6	박병호	Hero	532	0.280	0.302	14.7	22.0	0.67	0.280	13.09	0.958	103.21	8.50	102.51	2.83	-0.26	0.414	39.90	5.14
7	페르난	두산	645	0.344	0.358	9.5	8.4	1.13	0.139	38.13	0.892	113.04	7.65	114.79	2.31	-0.47	0.397	38.87	4.81
8	이정후	Hero	630	0.336	0.352	7.1	6.4	1.12	0.120	95.67	0.842	99.67	6.56	102.72	6.01	-0.69	0.381	28.57	4.81
9	박민우	NC	526	0.344	0.370	7.8	7.6	1.02	0.090	468.00	0.837	84.74	6.89	86.54	7.04	0.21	0.382	24.64	4.71
10	강백호	KT	505	0.336	0.392	12.1	17.2	0.70	0.159	33.69	0.911	91.92	7.98	93.44	3.78	-0.51	0.405	34.01	4.60
11	러프	삼성	568	0.292	0.312	14.1	15.3	0.92	0.223	21.45	0.911	97.77	7.25	101.72	3.18	-0.10	0.399	34.87	4.53
12	박건우	두산	537	0.319	0.338	11.4	10.6	1.07	0.146	45.80	0.862	84.84	6.54	91.15	4.51	1.02	0.388	27.95	4.49
13	최형우	KIA	555	0.300	0.326	15.3	13.9	1.10	0.185	26.82	0.898	95.83	7.63	100.32	1.91	-0.22	0.401	35.00	4.47
14	로맥	SK	589	0.276	0.302	12.4	19.9	0.62	0.232	17.38	0.878	97.76	6.86	98.18	3.72	-0.11	0.385	28.86	4.10
15	전준우	롯데	606	0.301	0.309	7.6	11.7	0.65	0.180	24.77	0.840	91.84	6.05	92.57	3.70	0.75	0.369	21.25	3.84
16	박석민	NC	444	0.267	0.280	14.6	15.5	0.94	0.211	18.95	0.871	67.95	6.33	76.66	1.17	-0.58	0.391	24.40	3.76
17	황재균	KT	507	0.283	0.296	10.3	14.0	0.73	0.184	22.40	0.825	74.57	5.89	76.15	4.85	-1.32	0.366	16.48	3.67
18	최재훈	한화	451	0.290	0.337	12.4	13.5	0.92	0.072	124.33	0.761	56.14	5.21	65.86	2.45	-4.02	0.361	12.78	3.62
19	민병헌	롯데	420	0.304	0.334	10.0	13.1	0.76	0.149	41.00	0.832	64.55	6.31	66.40	4.69	-0.31	0.375	16.96	3.45
20	오재일	두산	529	0.293	0.330	10.4	18.7	0.56	0.202	22.24	0.864	89.01	7.07	86.24	3.87	0.10	0.381	23.98	3.45
21	이천웅	LG	613	0.308	0.359	9.3	13.4	0.70	0.066	273.00	0.752	78.86	5.24	82.97	5.26	-0.65	0.349	10.83	3.41
22	박세혁	두산	505	0.279	0.317	8.1	13.5	0.60	0.111	110.25	0.735	64.13	5.08	62.79	7.13	0.71	0.337	3.35	3.36
23	유한준	KT	562	0.317	0.337	9.2	10.8	0.85	0.126	35.79	0.826	83.53	6.16	87.90	2.45	0.82	0.373	21.75	3.22
24	유강남	LG	468	0.270	0.298	6.4	17.5	0.37	0.168	26.13	0.772	57.08	4.63	59.98	0.44	0.17	0.341	4.90	3.20
25	터커	KIA	399	0.311	0.334	9.5	11.0	0.86	0.168	39.67	0.860	63.95	6.67	65.83	1.73	0.16	0.383	18.87	3.02
26	오지환	LG	547	0.252	0.311	10.4	20.7	0.50	0.126	52.56	0.717	67.21	4.83	64.82	6.84	2.77	0.330	0.44	3.00
27	박동원	Hero	361	0.297	0.333	9.4	15.5	0.61	0.148	31.70	0.812	51.57	5.78	54.18	2.91	0.34	0.366	11.69	2.99
28	김재호	두산	470	0.268	0.298	14.3	12.3	1.16	0.090	94.25	0.737	57.41	5.05	61.24	2.78	-0.67	0.344	5.93	2.87
29	김재환*	두산	574	0.283	0.331	11.0	19.7	0.56	0.151	33.00	0.796	83.55	6.03	81.08	5.04	0.31	0.356	13.52	2.86
30	김현수	LG	595	0.304	0.316	9.1	8.7	1.04	0.133	47.82	0.807	87.53	6.11	84.00	3.48	0.31	0.356	13.97	2.77
31	안치홍	KIA	408	0.315	0.335	9.8	9.1	1.08	0.097	72.40	0.792	58.12	5.94	59.07	3.42	-0.03	0.360	11.05	2.74
32	호잉	한화	525	0.284	0.314	7.2	17.1	0.42	0.176	26.44	0.800	76.60	5.74	71.18	6.07	0.87	0.350	9.39	2.73
33	김상수	삼성	543	0.271	0.305	9.2	12.3	0.75	0.084	93.60	0.713	64.25	4.71	65.63	5.66	2.66	0.333	1.72	2.63
34	이재원	SK	502	0.268	0.282	6.8	11.8	0.58	0.122	37.58	0.717	56.69	4.32	55.81	1.46	0.38	0.322	-3.28	2.53
35	김선빈	KIA	447	0.292	0.304	9.6	5.8	1.65	0.079	131.33	0.731	54.74	4.94	55.45	3.76	-0.81	0.337	2.84	2.36
36	서건창	Hero	486	0.300	0.332	10.1	10.3	0.98	0.083	213.00	0.756	67.21	5.78	65.34	6.27	1.91	0.348	8.14	2.35
37	이창진	KIA	470	0.270	0.332	12.1	19.6	0.62	0.113	66.67	0.746	58.08	4.95	61.47	3.91	-2.17	0.344	6.15	2.33
38	이형종	LG	482	0.286	0.317	8.7	16.2	0.54	0.156	32.23	0.800	68.18	5.68	68.14	3.69	-1.10	0.356	11.42	2.30
39	한동민	SK	502	0.265	0.321	11.2	19.9	0.56	0.131	35.58	0.771	67.59	5.69	70.45	2.56	-0.26	0.355	11.37	2.30
40	채은성	LG	514	0.315	0.341	4.7	13.0	0.36	0.119	39.17	0.792	73.73	5.84	71.52	3.32	-0.37	0.354	11.02	2.25
41	노진혁	NC	390	0.264	0.306	8.0	20.5	0.39	0.190	26.77	0.780	51.30	5.07	50.14	3.39	-0.35	0.342	4.24	2.20
42	허경민	두산	540	0.288	0.298	6.3	6.7	0.94	0.083	118.75	0.721	62.88	4.55	63.27	4.47	-0.15	0.329	-0.29	2.12
43	손아섭	롯데	568	0.295	0.342	9.2	16.2	0.56	0.105	51.20	0.760	75.56	5.38	75.36	4.77	-1.69	0.346	8.51	2.10
44	이성열	한화	476	0.256	0.300	10.1	24.0	0.42	0.208	19.71	0.807	68.21	5.68	67.86	4.26	-0.28	0.357	11.84	2.01
45	이원석	삼성	455	0.246	0.252	9.4	16.3	0.58	0.195	20.79	0.768	58.31	4.95	57.89	2.36	0.05	0.340	4.34	1.98
46	정수빈	두산	513	0.265	0.303	11.1	11.7	0.95	0.066	-	0.685	58.70	4.57	58.35	7.18	1.16	0.325	-2.03	1.96
47	강민호	삼성	393	0.234	0.262	8.4	19.3	0.43	0.171	26.62	0.720	44.49	4.31	43.25	1.69	0.13	0.321	-3.00	1.96
48	이학주	삼성	436	0.262	0.321	7.3	20.4	0.36	0.107	55.00	0.701	51.39	4.61	48.60	6.07	0.53	0.322	-2.72	1.91
49	구자욱	삼성	526	0.267	0.296	7.2	16.7	0.43	0.177	31.67	0.771	72.18	5.38	67.25	6.62	0.76	0.341	5.34	1.84
50	나성범	NC	106	0.366	0.476	11.3	24.5	0.46	0.279	23.25	1.088	26.74	11.64	25.76	5.15	-0.07	0.471	13.28	1.82
51	고종욱	SK	513	0.323	0.388	3.5	17.4	0.20	0.098	164.00	0.768	72.76	5.61	67.08	7.84	1.10	0.344	6.71	1.72
52	이대호	롯데	549	0.285	0.297	8.6	11.8	0.72	0.150	30.31	0.790	73.46	5.32	75.53	1.21	0.22	0.352	10.92	1.72
53	박경수	KT	490	0.247	0.298	11.2	20.8	0.54	0.128	42.10	0.710	54.13	4.27	55.64	1.19	-0.29	0.325	-2.03	1.72
54	김태균	한화	500	0.305	0.370	10.8	18.8	0.57	0.090	72.17	0.777	67.53	5.63	69.40	2.30	0.79	0.353	10.55	1.71
55	모창민	NC	386	0.305	0.336	8.0	16.1	0.50	0.161	34.10	0.824	58.22	6.09	56.44	3.89	-0.26	0.362	11.01	1.68
56	심우준	KT	433	0.279	0.330	5.3	15.7	0.34	0.061	130.33	0.668	47.28	4.19	43.02	6.14	3.15	0.309	-7.94	1.65
57	김혜성	Hero	387	0.276	0.360	7.5	22.0	0.34	0.086	-	0.694	46.17	4.67	41.91	8.91	2.39	0.319	-3.64	1.60
58	정은원	한화	624	0.262	0.304	7.7	16.2	0.48	0.112	70.50	0.691	70.13	4.30	64.92	6.43	-0.08	0.314	-8.52	1.56
59	김헌곤	삼성	467	0.297	0.315	7.9	8.8	0.90	0.090	82.20	0.748	54.99	4.55	60.17	3.30	-1.80	0.342	5.21	1.51
60	윌슨	롯데	268	0.251	0.301	11.6	22.4	0.52	0.182	25.67	0.784	34.64	5.08	37.33	1.12	-0.67	0.354	5.78	1.49
61	정의윤	SK	419	0.282	0.304	7.2	14.3	0.50	0.165	29.23	0.789	57.81	5.50	56.94	1.97	0.16	0.350	7.63	1.47
62	장성우	KT	413	0.262	0.319	8.5	20.8	0.41	0.077	52.29	0.664	40.84	3.78	39.57	1.00	-0.31	0.305	-9.04	1.41
63	유민상	KIA	202	0.291	0.341	11.9	17.3	0.69	0.172	35.00	0.849	31.37	6.52	33.30	1.38	0.09	0.383	9.52	1.31
64	권희동	NC	413	0.256	0.291	12.1	14.5	0.83	0.100	58.00	0.714	47.68	4.65	50.22	2.77	0.73	0.334	1.61	1.21
65	박계범	삼성	204	0.256	0.320	10.8	22.1	0.49	0.131	42.00	0.741	24.22	4.61	26.18	3.94	0.52	0.341	2.17	1.18
66	김민성	LG	401	0.260	0.308	7.5	18.7	0.40	0.111	45.13	0.694	42.20	3.98	42.68	2.47	0.04	0.317	-4.52	1.13
67	김강민	SK	460	0.270	0.338	6.7	22.4	0.30	0.100	52.75	0.694	52.45	4.41	47.64	5.81	-1.09	0.313	-6.49	1.03
68	박해민	삼성	581	0.239	0.275	10.0	14.1	0.71	0.089	101.20	0.646	59.22	3.89	55.10	7.23	1.27	0.304	-13.28	1.02
69	아수아헤	롯데	194	0.252	0.283	13.4	12.4	1.08	0.116	81.50	0.724	24.18	5.10	24.53	8.65	-0.14	0.339	1.70	0.95
70	페게로	LG	214	0.286	0.375	5.6	29.4	0.19	0.186	22.11	0.804	31.54	5.83	29.60	3.45	-0.04	0.353	4.42	0.76
71	최주환	두산	325	0.277	0.292	8.6	10.8	0.80	0.088	71.25	0.697	35.87	4.27	34.34	1.32	0.13	0.316	-3.91	0.74
72	조용호	KT	211	0.293	0.344	10.0	13.3	0.75	0.063	-	0.720	25.61	4.97	26.54	5.60	-1.27	0.339	1.71	0.64
73	이명기	NC	245	0.306	0.338	8.2	10.2	0.80	0.055	219.00	0.722	29.84	4.85	29.53	4.55	1.47	0.333	0.70	0.61
74	김성욱	NC	333	0.230	0.266	8.7	20.7	0.42	0.157	31.89	0.689	35.16	3.91	32.86	4.77	-0.72	0.308	-6.34	0.56
75	이지영	Hero	331	0.282	0.307	4.5	8.5	0.54	0.033	308.00	0.632	28.48	3.18	27.83	3.60	0.58	0.291	-11.13	0.54
76	박찬호	KIA	541	0.260	0.306	4.8	15.3	0.31	0.057	252.00	0.617	52.18	3.58	42.59	7.06	4.49	0.285	-21.09	0.54
77	정근우	한화	305	0.278	0.319	6.6	14.1	0.46	0.076	92.33	0.688	30.76	3.78	32.32	3.85	-0.81	0.316	-3.57	0.47
78	조셉	LG	217	0.274	0.313	6.4	21.2	0.30	0.152	21.89	0.758	28.18	5.11	27.41	1.85	-0.39	0.339	1.87	0.46
79	황윤호	KIA	130	0.301	0.324	3.8	9.2	0.42	0.097	123.00	0.724	15.35	4.50	14.86	4.96	-0.54	0.326	-0.44	0.44
80	한승택	KIA	288	0.223	0.315	9.4	28.5	0.33	0.080	83.67	0.602	23.39	2.98	21.52	2.33	0.29	0.281	-12.37	0.44
81	스몰린스	NC	228	0.229	0.228	7.0	13.6	0.52	0.210	22.78	0.737	25.85	4.15	25.76	4.40	0.14	0.324	-1.07	0.42
82	이명기	KIA	302	0.282	0.327	9.3	13.6	0.68	0.056	266.00	0.695	33.97	4.54	34.49	4.47	-0.57	0.325	-1.05	0.40
83	김태진	NC	399	0.275	0.321	4.0	16.8	0.24	0.105	74.80	0.685	44.52	4.20	39.22	6.86	0.43	0.308	-7.74	0.40
84	강로한	롯데	306	0.240	0.365	4.2	35.0	0.12	0.135	72.00	0.654	30.96	3.72	26.29	8.79	0.90	0.294	-9.73	0.39
85	손시헌	NC	149	0.267	0.309	3.4	15.4	0.22	0.089	67.50	0.673	14.95	3.81	14.90	4.88	-0.72	0.309	-2.63	0.38
86	윌리엄슨	삼성	168	0.273	0.376	7.7	29.8	0.26	0.136	38.50	0.736	20.74	4.83	20.00	3.71	-0.42	0.331	0.23	0.36
87	장진혁	한화	349	0.254	0.328	7.4	21.2	0.35	0.092	315.00	0.666	36.33	3.96	34.85	7.35	-0.36	0.309	-6.23	0.36
88	김찬형	NC	154	0.277	0.317	3.9	13.6	0.29	0.078	141.00	0.677	15.96	3.92	15.73	6.20	-1.31	0.312	-2.40	0.35
89	김주찬	KIA	363	0.300	0.334	4.7	12.1	0.39	0.074	112.33	0.714	43.15	4.72	39.91	3.52	0.22	0.321	-2.82	0.33
90	노수광	SK	445	0.250	0.299	10.3	15.3	0.68	0.062	194.00	0.645	45.83	3.98	43.04	6.97	0.34	0.306	-9.34	0.33
91	류지혁	두산	316	0.250	0.289	7.6	12.7	0.60	0.036	-	0.609	28.96	3.46	26.65	6.42	1.04	0.292	-10.54	0.32
92	베탄코트	NC	224	0.246	0.288	8.0	22.8	0.35	0.158	25.38	0.712	26.55	4.57	24.05	3.43	-0.22	0.318	-2.31	0.30
93	신범수	KIA	65	0.211	0.244	10.8	21.5	0.50	0.193	28.50	0.712	7.33	4.30	7.10	1.46	0.02	0.320	-0.55	0.30
94	이흥련	두산	44	0.310	0.433	4.6	27.3	0.17	0.095	-	0.746	5.57	5.01	5.54	4.81	0.02	0.339	0.37	0.29
95	송광민	한화	486	0.262	0.310	4.3	18.7	0.23	0.093	64.86	0.651	44.63	3.32	41.20	3.16	0.68	0.292	-16.00	0.28
96	김성현	SK	472	0.246	0.270	7.0	9.1	0.77	0.054	426.00	0.602	38.14	2.96	35.43	3.82	0.32	0.281	-20.12	0.26
97	오선진	한화	453	0.224	0.266	8.4	15.9	0.53	0.064	130.67	0.595	37.86	3.15	34.75	3.89	0.50	0.283	-18.56	0.26
98	김민혁	KT	521	0.281	0.319	6.1	11.5	0.53	0.026	-	0.648	52.25	3.89	50.85	5.65	-0.52	0.307	-10.47	0.25
99	임병욱	Hero	419	0.243	0.342	5.5	26.2	0.21	0.071	-	0.619	38.67	3.48	34.85	6.80	1.03	0.290	-14.46	0.24
100	이준수	KT	49	0.194	0.280	18.4	22.4	0.82	0.028	-	0.592	3.97	3.25	5.01	1.21	0.02	0.312	-0.76	0.24
101	백용환	KIA	51	0.234	0.290	5.9	27.4	0.21	0.170	23.50	0.698	5.89	4.42	5.18	2.27	0.02	0.311	-0.82	0.20
102	최진행*	한화	129	0.231	0.250	7.0	21.7	0.32	0.205	19.50	0.731	14.78	4.25	14.17	1.08	0.04	0.320	-1.02	0.19
103	최승민	NC	10	0.444	0.571	10.0	20.0	0.50	0.112	-	1.056	2.51	9.68	2.45	11.54	0.15	0.473	1.28	0.18
104	송민섭	KT	64	0.302	0.390	9.4	20.3	0.46	0.038	-	0.737	7.59	4.88	9.02	11.54	-1.22	0.356	1.48	0.18
105	공민규	삼성	60	0.245	0.313	10.0	30.0	0.33	0.189	17.67	0.767	8.27	5.58	7.91	2.15	0.02	0.345	0.84	0.17
106	신본기	롯데	413	0.256	0.304	5.8	15.0	0.39	0.032	375.00	0.602	33.98	3.09	31.83	3.35	-0.72	0.284	-16.78	0.16
107	강민국	KT	94	0.273	0.338	6.4	18.1	0.35	0.022	-	0.614	8.52	3.49	7.87	5.35	0.41	0.291	-3.19	0.15
108	이성규	삼성	46	0.256	0.360	4.4	34.8	0.12	0.186	21.50	0.746	5.30	4.21	5.37	2.06	-0.28	0.328	-0.04	0.14
109	김동한	롯데	85	0.282	0.349	7.1	17.6	0.40	0.051	-	0.666	8.72	3.92	8.45	4.38	-0.37	0.309	-1.55	0.13
110	지성준	한화	109	0.250	0.296	4.6	19.3	0.24	0.115	52.00	0.649	10.10	3.37	9.01	1.19	0.03	0.290	-3.82	0.13
111	김재현	SK	49	0.286	0.387	8.2	22.4	0.36	0.095	-	0.729	5.18	3.59	6.11	18.30	-0.48	0.337	0.34	0.12
112	박한이	삼성	85	0.257	0.304	10.6	20.0	0.53	0.121	37.00	0.711	10.39	4.92	9.66	2.58	0.03	0.325	-0.35	0.11
113	정범모	NC	45	0.225	0.304	6.7	33.3	0.20	0.175	20.00	0.679	4.46	3.65	4.16	4.22	-0.28	0.301	-1.14	0.11
114	이우성	NC	81	0.268	0.308	8.6	22.2	0.39	0.169	23.67	0.762	10.67	5.14	9.95	2.97	0.03	0.335	0.42	0.10
115	오태곤	KT	392	0.250	0.304	7.9	19.9	0.40	0.102	58.67	0.668	42.05	4.07	38.38	6.35	2.68	0.307	-7.76	0.10
116	김태연	한화	6	0.250	0.500	33.3	33.3	1.00	0.250	-	1.000	1.26	11.34	1.40	1.81	0.00	0.459	0.69	0.10
117	김인태	두산	70	0.233	0.255	11.4	17.1	0.67	0.167	30.00	0.719	7.54	3.99	8.04	4.29	-0.27	0.326	-0.20	0.10
118	김형준	NC	119	0.224	0.272	6.7	20.2	0.33	0.103	53.50	0.605	10.20	3.13	8.36	3.15	0.04	0.276	-5.64	0.10
119	이인혁	NC	9	0.250	0.250	11.1	33.3	0.33	0.375	8.00	0.958	1.75	7.88	1.66	1.81	0.00	0.405	0.60	0.09
120	임재현	SK	3	0.667	1.000	0.0	33.3	0.00	0.000	-	1.334	1.33	35.91	1.10	4.31	0.00	0.609	0.74	0.08
121	최윤석	한화	15	0.250	0.375	20.0	26.7	0.75	0.000	-	0.650	1.51	4.53	1.84	4.31	0.01	0.335	0.07	0.08
122	강경학	한화	135	0.239	0.329	11.1	23.7	0.47	0.035	-	0.615	11.41	3.24	12.47	3.68	-0.72	0.301	-3.42	0.08
123	김태군	NC	28	0.182	0.286	14.3	28.6	0.50	0.000	-	0.539	1.79	2.54	2.45	-1.04	0.01	0.295	-0.85	0.08
124	한준수	KIA	20	0.300	0.333	0.0	10.0	0.00	0.100	-	0.700	1.60	2.70	1.94	-0.96	0.01	0.306	-0.41	0.07
125	김도환	삼성	106	0.204	0.304	7.6	34.0	0.22	0.129	46.50	0.598	9.13	3.12	6.84	2.81	0.03	0.269	-5.63	0.07
126	박지규	LG	18	0.091	0.250	22.2	38.9	0.57	0.000	-	0.503	1.20	2.95	2.05	5.15	0.01	0.325	-0.07	0.07
127	이원재	NC	285	0.258	0.284	7.0	16.5	0.43	0.137	32.00	0.706	31.31	4.12	29.97	2.80	-0.68	0.315	-3.57	0.06
128	고승민	롯데	89	0.253	0.309	4.5	18.0	0.25	0.120	-	0.657	8.96	3.72	7.70	5.60	0.03	0.294	-2.78	0.06
129	김재성	LG	7	0.200	0.333	28.6	28.6	1.00	0.000	-	0.629	0.65	4.39	0.94	1.81	0.00	0.348	0.12	0.06
130	김민하	한화	140	0.256	0.361	6.4	29.3	0.22	0.096	62.50	0.671	13.92	3.72	13.79	3.36	0.01	0.308	-2.69	0.05
131	홍창기	LG	26	0.250	0.500	3.8	46.2	0.08	0.083	-	0.641	2.71	3.85	2.26	3.69	0.56	0.295	-0.80	0.05
132	김지수	Hero	32	0.267	0.348	6.2	21.9	0.29	0.066	-	0.646	2.96	3.47	2.82	1.58	0.01	0.296	-0.95	0.04
133	장영석	Hero	413	0.247	0.290	6.5	18.6	0.35	0.097	53.14	0.654	38.88	3.51	37.80	1.52	0.16	0.300	-10.81	0.04
134	예진원	Hero	8	0.167	0.333	25.0	37.5	0.67	0.166	-	0.708	0.95	5.13	1.05	3.48	0.00	0.345	0.11	0.03
135	최영진	삼성	275	0.251	0.291	5.1	17.1	0.30	0.127	50.20	0.674	28.15	3.82	24.93	4.75	0.34	0.299	-7.44	0.02
136	신성현	두산	54	0.195	0.250	18.5	25.9	0.71	0.073	41.00	0.620	5.41	4.17	5.45	4.31	0.03	0.310	-0.91	0.02
137	최선호	삼성	8	0.167	0.167	25.0	0.0	-	0.000	-	0.542	0.77	4.16	0.77	5.42	0.19	0.305	-0.18	0.02
138	이원석	한화	9	0.000	0.000	22.2	55.6	0.40	0.000	-	0.333	0.61	2.74	0.48	19.66	0.37	0.256	-0.58	0.01
139	이정훈	KIA	15	0.286	0.286	0.0	6.7	0.00	0.071	-	0.624	0.76	1.58	0.91	-4.34	0.00	0.265	-0.86	0.00
140	김민수	롯데	37	0.235	0.400	2.7	37.8	0.07	0.089	-	0.621	2.87	2.77	2.94	-2.19	0.01	0.286	-1.41	0.00
141	최항	SK	147	0.228	0.279	10.9	16.3	0.67	0.040	-	0.590	12.27	3.22	11.72	3.18	0.43	0.287	-5.58	0.00
142	이동훈	한화	31	0.290	0.391	0.0	25.8	0.00	0.033	-	0.613	2.98	3.50	2.17	4.18	0.56	0.275	-1.48	-0.01
143	김웅빈	Hero	11	0.273	0.333	0.0	18.2	0.00	0.091	-	0.637	0.36	0.97	0.80	-5.41	0.00	0.278	-0.50	-0.01
144	하주석	한화	20	0.263	0.333	0.0	20.0	0.00	0.105	-	0.631	1.50	2.53	1.37	2.15	0.00	0.274	-0.98	-0.01
145	이유찬	두산	13	0.231	0.300	0.0	23.1	0.00	0.000	-	0.462	1.29	3.48	0.16	16.46	0.92	0.211	-1.37	-0.01
146	지석훈	NC	169	0.228	0.286	5.9	21.9	0.27	0.101	74.50	0.628	14.09	3.02	13.51	1.74	-0.42	0.287	-6.38	-0.01
